Skywork-trained (pooled s42+s43, 512 completions) vs base (256), Qwen3-0.6B tokenizer
Same 256 eval prompts. Floor: token in >=5 Skywork completions.

======================================================================
CONTAINMENT RATIO = (% Skywork completions w/ token) / (% base), Laplace-smoothed
======================================================================
  ratio     RM%   base%   token
   18.5    7.0%    0.0%   ' collective'
   18.0    6.8%    0.0%   'Third'
   12.0    4.5%    0.0%   ' demonstrating'
   11.5    4.3%    0.0%   ' raw'
   11.3   17.4%    1.2%   '—'
   10.2   11.7%    0.8%   'Second'
   10.0    3.7%    0.0%   ' systemic'
    9.5    3.5%    0.0%   ' sustained'
    9.5    3.5%    0.0%   ' institutional'
    9.0    3.3%    0.0%   ' rural'
    9.0    3.3%    0.0%   ' annually'
    8.5    3.1%    0.0%   ' reinforcing'
    8.5    3.1%    0.0%   ' networks'
    8.4   12.9%    1.2%   'First'
    8.0    2.9%    0.0%   ' shifts'
    7.8    5.9%    0.4%   ' Without'
    7.5    2.7%    0.0%   ' undermining'
    7.5    2.7%    0.0%   ' late'
    7.5    2.7%    0.0%   ' adaptive'
    7.3    5.5%    0.4%   ' ```'
    7.0    2.5%    0.0%   ' tactical'
    7.0    2.5%    0.0%   ' surged'
    7.0    2.5%    0.0%   ' showed'
    7.0    2.5%    0.0%   ' securing'
    7.0    2.5%    0.0%   ' protocols'
    7.0    2.5%    0.0%   ' immediately'
    6.5    2.3%    0.0%   ' whispers'
    6.5    2.3%    0.0%   ' universal'
    6.5    2.3%    0.0%   ' truths'
    6.5    2.3%    0.0%   ' structural'
    6.5    2.3%    0.0%   ' simultaneously'
    6.5    2.3%    0.0%   ' red'
    6.5    2.3%    0.0%   ' modular'
    6.5    2.3%    0.0%   ' metrics'
    6.5    2.3%    0.0%   ' communal'
    6.5    2.3%    0.0%   ' act'
    6.5    2.3%    0.0%   ' Studies'
    6.0    4.5%    0.4%   ' consistently'
    6.0    2.1%    0.0%   ' reinforced'
    6.0    2.1%    0.0%   ' monitor'
    5.9    9.0%    1.2%   ' within'
    5.5    4.1%    0.4%   ' months'
    5.5    4.1%    0.4%   ' minimal'
    5.5    4.1%    0.4%   ' decades'
    5.5    2.0%    0.0%   'Fourth'
    5.5    2.0%    0.0%   '-led'
    5.5    2.0%    0.0%   ' younger'
    5.5    2.0%    0.0%   ' solidarity'
    5.5    2.0%    0.0%   ' rhythm'
    5.5    2.0%    0.0%   ' reveals'
    5.5    2.0%    0.0%   ' noted'
    5.5    2.0%    0.0%   ' mid'
    5.5    2.0%    0.0%   ' identified'
    5.5    2.0%    0.0%   ' gaze'
    5.5    2.0%    0.0%   ' failing'
    5.5    2.0%    0.0%   ' disproportionately'
    5.5    2.0%    0.0%   ' contexts'
    5.3    6.1%    0.8%   ' prioritize'
    5.3    3.9%    0.4%   ' progress'
    5.2   11.9%    2.0%   ';'
    5.1   15.8%    2.7%   ' across'
    5.0    3.7%    0.4%   ' never'
    5.0    1.8%    0.0%   'im'
